"lon","lat","time"
5.3697491,53.0759067,2013-07-20 12:08:52
5.3697538,53.0759093,2013-07-20 12:23:49
5.3697453,53.0759104,2013-07-20 12:39:01
5.3698227,53.0758754,2013-07-20 13:53:11
5.369778,53.0759135,2013-07-20 14:08:38
5.3697243,53.075981,2013-07-20 14:23:34
5.3697458,53.0759353,2013-07-20 14:38:29
5.3688563,53.0780798,2013-07-20 15:08:02
5.3705556,53.076926,2013-07-20 15:23:06
5.3695348,53.0773543,2013-07-20 15:38:46
5.3704974,53.0774965,2013-07-20 16:09:08
5.3710605,53.0778787,2013-07-20 16:24:03
5.3705733,53.0784851,2013-07-20 16:38:58
5.3712682,53.0782276,2013-07-20 17:08:35
5.3713114,53.0782181,2013-07-20 17:38:37
5.370841,53.0784754,2013-07-20 17:53:48
5.3708643,53.0784756,2013-07-20 18:08:49
5.3708596,53.0785171,2013-07-20 18:38:51
5.3701781,53.0789627,2013-07-20 19:08:50
5.3699722,53.0792962,2013-07-20 19:23:46
5.3696676,53.0792389,2013-07-20 19:39:07
5.3695655,53.0793573,2013-07-20 19:54:19
5.3697442,53.079357,2013-07-20 20:24:16
5.3705149,53.0789031,2013-07-20 20:54:24
5.3714922,53.0783927,2013-07-20 21:24:16
5.3715526,53.0782371,2013-07-20 21:54:37
5.3717268,53.0782129,2013-07-20 22:24:48
5.3715873,53.0782286,2013-07-20 22:54:40
5.3703468,53.075156,2013-07-20 23:24:31
5.370372,53.0751982,2013-07-20 23:54:25
5.3703424,53.0751832,2013-07-21 00:25:02
5.370156,53.0752605,2013-07-21 00:54:54
5.3701819,53.0752763,2013-07-21 01:24:47
5.3701963,53.075284,2013-07-21 01:55:05
5.3702012,53.0752884,2013-07-21 02:25:01
5.3701972,53.0753018,2013-07-21 02:54:54
5.3701586,53.0753307,2013-07-21 03:25:03
5.369133,53.0776394,2013-07-21 03:39:58
5.3694809,53.0781061,2013-07-21 03:54:53
5.3698688,53.0781841,2013-07-21 04:10:08
5.37138,53.0779873,2013-07-21 04:25:02
5.3717323,53.0777352,2013-07-21 04:39:57
5.3717343,53.0776369,2013-07-21 04:55:03
5.3718234,53.0774282,2013-07-21 05:10:21
5.3720497,53.0772715,2013-07-21 05:25:16
5.3687926,53.0775009,2013-07-21 05:40:12
5.3683734,53.078553,2013-07-21 05:55:08
5.3688833,53.0786635,2013-07-21 06:10:15
5.3689027,53.0785349,2013-07-21 06:25:28
5.3719964,53.0766321,2013-07-21 06:40:57
5.3717788,53.0762997,2013-07-21 06:56:27
5.3718051,53.0763,2013-07-21 07:26:20
5.3717877,53.0763166,2013-07-21 07:41:15
5.3718575,53.0763271,2013-07-21 07:56:15
5.37181,53.0762996,2013-07-21 08:11:38
5.3717751,53.0762784,2013-07-21 08:26:51
5.3717966,53.076272,2013-07-21 08:41:47
5.3717826,53.0762574,2013-07-21 08:56:42
5.3717978,53.0762515,2013-07-21 09:11:39
5.371819,53.0762537,2013-07-21 09:26:36
5.3716541,53.0763333,2013-07-21 09:41:31
5.3711562,53.0767903,2013-07-21 09:56:44
5.3711832,53.0771862,2013-07-21 10:11:50
5.3689694,53.0795632,2013-07-21 10:27:06
5.3392316,53.0930297,2013-07-21 10:42:04
5.3692434,53.0794177,2013-07-21 10:56:59
5.3701026,53.0789806,2013-07-21 11:27:04
5.3713947,53.0782609,2013-07-21 11:42:18
5.3716582,53.0760249,2013-07-21 12:07:21
5.3714878,53.0756229,2013-07-21 12:31:21
